"Leaf_ID";"IDVar";"Water_treatment"
"4695_2022-06-02_HD";"V2043";"WW"
"4693_2022-06-02_HD";"V2043";"WD1"
"4692_2022-06-02_HD";"V2043";"WD2"
"6585_2022-06-02_HD";"V3433";"WW"
"6582_2022-06-02_HD";"V3433";"WD1"
"6581_2022-06-02_HD";"V3433";"WD2"
"5247_2022-06-02_HD";"V1237";"WW"
"5243_2022-06-02_HD";"V1237";"WD1"
"5242_2022-06-02_HD";"V1237";"WD2"
"5744_2022-06-02_HD";"V1221";"WW"
"5740_2022-06-02_HD";"V1221";"WD1"
"5743_2022-06-02_HD";"V1221";"WD2"
"4724_2022-06-02_HD";"V2074";"WW"
"4723_2022-06-02_HD";"V2074";"WD1"
"4721_2022-06-02_HD";"V2074";"WD2"
"6153_2022-06-02_HD";"V2503";"WW"
"6156_2022-06-02_HD";"V2503";"WD1"
"6150_2022-06-02_HD";"V2503";"WD2"
"5494_2022-06-02_HD";"V3381";"WW"
"5492_2022-06-02_HD";"V3381";"WD1"
"5497_2022-06-02_HD";"V3381";"WD2"
"5387_2022-06-02_HD";"V1893";"WW"
"5380_2022-06-02_HD";"V1893";"WD1"
"5382_2022-06-02_HD";"V1893";"WD2"
"6460_2022-06-02_HD";"V3240";"WW"
"6469_2022-06-02_HD";"V3240";"WD1"
"6464_2022-06-02_HD";"V3240";"WD2"
"5163_2022-06-02_HD";"V2774";"WW"
"5162_2022-06-02_HD";"V2774";"WD1"
"5168_2022-06-02_HD";"V2774";"WD2"
"6030_2022-06-02_HD";"V2218";"WW"
"6033_2022-06-02_HD";"V2218";"WD1"
"6037_2022-06-02_HD";"V2218";"WD2"
"4685_2022-06-02_HD";"V2013";"WW"
"4689_2022-06-02_HD";"V2013";"WD1"
"4680_2022-06-02_HD";"V2013";"WD2"
"5959_2022-06-02_HD";"V1715";"WW"
"5958_2022-06-02_HD";"V1715";"WD1"
"5951_2022-06-02_HD";"V1715";"WD2"
"7786_2022-06-27_HD";"V6860";"WW"
"7782_2022-06-27_HD";"V6860";"WD1"
"7790_2022-06-27_HD";"V6860";"WD2"
"5694_2022-06-09_HD";"V830";"WW"
"5695_2022-06-09_HD";"V830";"WD1"
"5692_2022-06-09_HD";"V830";"WD2"
"5317_2022-06-03_HD";"V1563";"WW"
"5310_2022-06-03_HD";"V1563";"WD1"
"5315_2022-06-03_HD";"V1563";"WD2"
"4663_2022-06-03_HD";"V1992";"WW"
"4669_2022-06-03_HD";"V1992";"WD1"
"4668_2022-06-03_HD";"V1992";"WD2"
"5910_2022-06-03_HD";"V1662";"WW"
"5912_2022-06-03_HD";"V1662";"WD1"
"5913_2022-06-03_HD";"V1662";"WD2"
"6186_2022-06-03_HD";"V2597";"WW"
