"Leaf_ID";"Experiment";"Phenotyping_type";"LMA";"WCf";"WQ";"An";"PSI";"WUEintr";"WUEinst"
"6705_22/07/21";"Outdoor";"HT";4,20434328489452;NA;NA;NA;NA;NA;NA
"6242_19/07/21";"Outdoor";"HT";4,48618017772833;NA;NA;NA;NA;NA;NA
"6244_21/07/21";"Outdoor";"HT";6,55519453907533;NA;NA;NA;NA;NA;NA
"6249_22/07/21";"Outdoor";"HT";4,78459571061492;NA;NA;NA;NA;NA;NA
"5237_19/07/21";"Outdoor";"HT";4,25739493584862;NA;NA;NA;NA;NA;NA
"5238_21/07/21";"Outdoor";"HT";5,36153240752898;NA;NA;NA;NA;NA;NA
"5239_22/07/21";"Outdoor";"HT";4,12808153826443;NA;NA;NA;NA;NA;NA
"6726_19/07/21";"Outdoor";"HT";4,86417318605134;NA;NA;NA;NA;NA;NA
"6725_21/07/21";"Outdoor";"HT";4,93380347705821;NA;NA;NA;NA;NA;NA
"6721_22/07/21";"Outdoor";"HT";4,06839843168711;NA;NA;NA;NA;NA;NA
"6496_19/07/21";"Outdoor";"HT";5,13274716564927;NA;NA;NA;NA;NA;NA
"6494_21/07/21";"Outdoor";"HT";4,50607454658744;NA;NA;NA;NA;NA;NA
"6493_22/07/21";"Outdoor";"HT";4,48618017772833;NA;NA;NA;NA;NA;NA
"5241_19/07/21";"Outdoor";"HT";4,69507105074894;NA;NA;NA;NA;NA;NA
"5247_21/07/21";"Outdoor";"HT";5,44110988296541;NA;NA;NA;NA;NA;NA
"5240_22/07/21";"Outdoor";"HT";4,7050182351785;NA;NA;NA;NA;NA;NA
"6130_19/07/21";"Outdoor";"HT";6,21699026847053;NA;NA;NA;NA;NA;NA
